"Name","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BsR","Fld","WAR","playerid"
"Robinson Cano","644","571","167","39","1","24","86","90","59","89","7","4","3",".292",".363",".487",".850",".365","-0.6","2.2","5.2","3269"
"Matt Carpenter","560","486","141","36","4","10","75","53","60","81","6","5","3",".291",".373",".442",".815",".359","0.8","-1.5","4.1","8090"
"Dustin Pedroia","618","546","157","36","2","12","79","72","62","65","4","13","6",".288",".362",".431",".793",".348","-0.5","3.6","4.0","8370"
"Ben Zobrist","658","568","150","35","4","16","83","74","78","97","5","10","5",".264",".355",".421",".777",".342","0.7","3.4","4.7","7435"
"Neil Walker","495","439","119","27","3","13","60","55","44","82","6","4","2",".272",".345",".433",".777",".341","0.2","0.4","3.0","7539"
"Chase Utley","540","475","125","24","4","16","65","62","50","76","9","8","3",".263",".342",".434",".776",".339","1.1","1.6","3.2","1679"
"Josh Rutledge","305","280","79","18","2","8","38","35","17","52","4","7","3",".283",".330",".448",".777",".339","0.4","-1.2","1.0","11167"
"Aaron Hill","636","574","156","33","3","20","78","76","48","82","6","8","5",".271",".332",".443",".775",".338","-0.4","-1.6","2.9","6104"
"Ian Kinsler","676","596","156","34","3","19","93","71","62","73","8","19","8",".261",".337",".426",".762",".336","2.2","-2.3","3.5","6195"
"Jason Kipnis","618","541","142","30","3","15","78","69","65","120","4","22","10",".262",".344",".415",".759",".335","0.4","-1.2","3.5","9776"
"Jedd Gyorko","620","565","148","30","1","24","69","81","44","125","4","4","2",".262",".317",".444",".761",".332","0.2","0.7","3.4","10816"
"Omar Infante","484","451","133","25","3","8","55","52","24","48","2","6","3",".295",".331",".413",".744",".326","-0.2","0.2","2.1","1609"
"Scott Sizemore","234","205","52","12","1","5","27","24","24","51","2","4","3",".254",".334",".397",".731",".324","-0.1","-0.3","0.9","2881"
"Marco Scutaro","580","526","150","29","3","6","68","50","43","44","3","4","2",".286",".341",".385",".726",".322","-0.5","-1.6","2.5","1555"
"Anthony Rendon","541","477","121","30","2","11","58","54","50","91","6","3","2",".255",".331",".398",".729",".322","0.3","-0.6","2.1","12861"
